Frame,Keypoint ID,Keypoint Score,Keypoint Visibility,Keypoint Likelihood,Keypoint Part,Bounding Box,Pose Confidence,X,Y
175,[0.39124873 0.509135   0.6971745 ],0.3071485,[0.31303376 0.4941229  0.5130664 ],[0.31437805 0.44574782 0.5653747 ],[0.38824236 0.43654028 0.47323307],"[[0.47831848 0.5113571  0.31511524]
 [0.48357388 0.43709275 0.3773415 ]
 [0.58343    0.5182671  0.36521867]
 [0.5869026  0.44001874 0.27729258]]",[0.5704971  0.49665213 0.4939922 ],0.32141536,0.3066415
176,[0.3924351 0.5100814 0.6605115],0.30516884,[0.31026807 0.49488193 0.45791462],[0.31293732 0.4454582  0.52811897],[0.38954744 0.43649852 0.51151764],"[[0.48124856 0.5111789  0.33183593]
 [0.48561922 0.4368645  0.39244473]
 [0.58664155 0.5183331  0.36754122]
 [0.5866199  0.44654092 0.26106706]]",[0.5693037  0.4984879  0.54358387],0.31859595,0.30368173
177,[0.39204916 0.5120625  0.66339326],0.3035555,[0.30996034 0.49551833 0.4275682 ],[0.31186762 0.44633442 0.49570808],[0.3908936  0.43849084 0.4422442 ],"[[0.4779142  0.5121557  0.30536053]
 [0.4938671  0.4381069  0.29818824]
 [0.58595175 0.5167985  0.3522287 ]
 [0.5879072  0.44710577 0.29832017]]",[0.5719999  0.50082034 0.56305206],0.3181586,0.30223632
179,[0.3884767 0.5123416 0.660316 ],0.30141735,[0.30318695 0.49812356 0.61606705],[0.3082446 0.4464257 0.6434956],[0.38855734 0.43954456 0.36169544],"[[0.47835857 0.51191515 0.401377  ]
 [0.49506742 0.4372637  0.34017053]
 [0.58671534 0.51728475 0.28675643]
 [0.59338295 0.44204307 0.26515263]]",[0.5715156 0.5036999 0.6150999],0.31252828,0.29937556
180,[0.38934892 0.5126537  0.6618092 ],0.30287948,[0.30548617 0.49903655 0.5582914 ],[0.30943668 0.44912526 0.5218805 ],[0.39006642 0.43825492 0.4464104 ],"[[0.47810543 0.51279235 0.34555948]
 [0.48115543 0.44071206 0.3625317 ]
 [0.57502514 0.51738423 0.25192502]
 [0.5861136  0.45153967 0.24910614]]",[0.56374866 0.505082   0.55701256],0.3153676,0.30183917
181,[0.3893455  0.51226574 0.6819239 ],0.30470657,[0.30660957 0.4974382  0.58569264],[0.31057742 0.44899908 0.49408376],[0.3903808  0.4382844  0.44683918],"[[0.4794819  0.5140965  0.3715998 ]
 [0.48202023 0.440008   0.39319944]
 [0.5834933  0.5209777  0.35020056]
 [0.5860776  0.45065632 0.24654087]]",[0.5649384 0.5046253 0.5684458],0.3167368,0.3027565
182,[0.38849652 0.5141957  0.6678488 ],0.30024397,[0.30373907 0.49900132 0.58652896],[0.3079212 0.4495047 0.5523251],[0.3893985  0.43881643 0.509389  ],"[[0.4775811  0.51578325 0.3743553 ]
 [0.48065776 0.43953556 0.4955507 ]
 [0.5719065  0.5195958  0.28445393]
 [0.5809965  0.45264307 0.2070632 ]]",[0.56672966 0.5045604  0.60308135],0.31290922,0.2989467
183,[0.3879116  0.5138161  0.66024435],0.30047706,[0.3036819  0.4998064  0.55823416],[0.30788627 0.44966045 0.5309893 ],[0.3900517  0.43892512 0.48162276],"[[0.48016828 0.51377916 0.37267983]
 [0.48048925 0.4441867  0.33988234]
 [0.5823998  0.5222321  0.34375063]
 [0.5834607  0.4517192  0.24778791]]",[0.5684061  0.50395584 0.6029519 ],0.3115648,0.29903817
184,[0.38793764 0.51423717 0.6657065 ],0.3005438,[0.30389717 0.5003861  0.5351349 ],[0.30943325 0.4496944  0.40324685],[0.38916776 0.43976477 0.5131329 ],"[[0.48185125 0.51359636 0.38963598]
 [0.48200333 0.44221193 0.4409077 ]
 [0.5856497  0.5204363  0.33825013]
 [0.5833757  0.4496087  0.27597773]]",[0.56851965 0.50357735 0.59837526],0.31156427,0.2988477
186,[0.38861915 0.51445043 0.6575812 ],0.30053073,[0.30472872 0.50107634 0.49801892],[0.3097461  0.44944796 0.40469015],[0.3902426  0.43946084 0.4676508 ],"[[0.48150536 0.51609206 0.4080983 ]
 [0.48276883 0.44147837 0.37958148]
 [0.58463836 0.52429503 0.2861217 ]
 [0.58634305 0.44057074 0.28616694]]",[0.56327516 0.5061428  0.55863005],0.31295156,0.2989265
